title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date
Eiken-Ou: 3-Kyuuhen,Ds,Misc,Gakken,Gakken Index,,,,,,,2007-04-26
Eiken-Ou: 4-Kyuuhen,Ds,Misc,Gakken,Gakken Index,,,,,,,2007-04-26
Eiken-Ou: Jun-2-Kyuuhen,Ds,Misc,Gakken,Gakken Index,,,,,,,2007-08-30
Eikou Seminar Koushiki DS Kyouzaki: Chuugakkou Eitango - Eitan Zamurai DS,Ds,Misc,Educational Network,Educational Network,,,,,,,2009-03-26
Eikou Seminar Koushiki DS Kyouzaki: Shougakkou Eigo - Eitan Zamurai DS,Ds,Misc,Educational Network,Educational Network,,,,,,,2009-03-26
Einherjar: The Viking's Blood,Pc,Misc,Circle Entertainment,Unknown,,,,,,,2012-02-06
Eisei Meijin,Ps,Misc,Konami,Konami,,,,,,,1995-09-08
Eisei Meijin 3: Game Creator Yoshimura Nobuhiro no Zunou,Dc,Misc,Konami,Konami,,,,,,,1999-07-08
Eisei Meijin II,Ps,Misc,Konami,Konami,,,,,,,1996-12-20
Eisei Meijin III,Ps,Misc,Konami,Konami,,,,,,,1999-03-18
Eisei Meijin VI,Gc,Misc,Konami,Konami,,,,,,,2002-09-26
Eisei Meijin VI,Ps2,Misc,Konami,Konami,,,,,,,2002-02-28
Eitango Target 1900,Gb,Misc,Imagineer,C-Lab,,,,,,,1996-12-13
Eitango Target 1900 DS,Ds,Misc,Ie Institute,Ie Institute,,,,,,,2006-08-10
Eitangohen: 2000 Words,Gba,Misc,Keynet,Keynet,,,,,,,2001-08-31
El Chavo,Wii,Misc,Slang,Unknown,,,,,,,2012-04-27
El Chavo,Pc,Misc,Capcom / Mitchell Corporation,Unknown,,,,,,,2013-08-08
El Chavo,Osx,Misc,Capcom / Mitchell Corporation,Unknown,,,,,,,2013-08-08
El Chavo Kart,Psv,Misc,Slang,Unknown,,,,,,,2020-12-31
El Chavo Kart,Ps3,Misc,Slang,Unknown,,,,,,,2014-02-21
El Chavo Kart,X360,Misc,Slang,Unknown,,,,,,,2014-02-21
Electroplankton: Beatnes,Dsiw,Misc,Nintendo,Indies Zero,,,,,,,2009-11-09
Electroplankton: Hanenbow,Dsiw,Misc,Nintendo,Indies Zero,,,,,,,2009-11-09
Electroplankton: Lumiloop,Dsiw,Misc,Nintendo,Indies Zero,,,,,,,2009-11-23
Electroplankton: Luminarrow,Dsiw,Misc,Nintendo,Indies Zero,,,,,,,2009-11-23
Electroplankton: Marine-Crystals,Dsiw,Misc,Nintendo,Indies Zero,,,,,,,2009-11-23
Electroplankton: Nanocarp,Dsiw,Misc,Nintendo,Indies Zero,,,,,,,2009-11-09
Electroplankton: Rec-Rec,Dsiw,Misc,Nintendo,Indies Zero,,,,,,,2009-11-09
Electroplankton: Sun-Animalcule,Dsiw,Misc,Nintendo,Indies Zero,,,,,,,2009-11-23
Electroplankton: Trapy,Dsiw,Misc,Nintendo,Indies Zero,,,,,,,2009-11-09
Electroplankton: Varvoice,Dsiw,Misc,Nintendo,Indies Zero,,,,,,,2009-11-23
Eleusis,Pc,Misc,Unknown,Unknown,,,,,,,2013-10-16
Elevator Action Old & New,Gba,Misc,Media Kite,Media Kite,,,,,,,2002-12-20
ELGARD - MORPG,And,Misc,Rntsmedia,Unknown,,,,,,,2012-11-06
Elite,Msx,Misc,Firebird,Unknown,,,,,,,1987-01-01
Elite,Zxs,Misc,Firebird,Unknown,,,,,,,1985-01-01
Elite,C64,Misc,Firebird,Unknown,,,,,,,1985-01-01
Elite,Apii,Misc,Firebird,Unknown,,,,,,,1985-01-01
Elite,Ast,Misc,Firebird,Unknown,,,,,,,1988-01-01
Elite,Amig,Misc,Firebird,Unknown,,,,,,,1988-01-01
Elite,Aco,Misc,Frontier Developments Inc.,Unknown,,,,,,,1984-09-20
Elite,Bbcm,Misc,Frontier Developments Inc.,Unknown,,,,,,,1984-09-20
Elite,Msd,Misc,Firebird,Unknown,,,,,,,1991-01-01
Elite Pinball HD,Xbl,Misc,Unknown,Frozen North,,,,,,,
Emergency Ambulance Simulator,Pc,Misc,Excalibur Publishing Limited,Unknown,,,,,,,2012-03-14
Empire Builder: Ancient Egypt,3Ds,Misc,Jowood,Unknown,,,,,,,2012-12-20
Empire Z,And,Misc,Ember Entertainment,Unknown,,,,,,,2014-05-30
Empire: Four Kingdoms,And,Misc,Goodgame Studios,Unknown,,,,,,,2013-03-12
Ename Asatarou + Oshima Takeo no Jissen Mahjong Kyoushitsu,Gb,Misc,Gaps,Gaps,,,,,,,1998-12-25
Enchanted Cavern,Pc,Misc,Alawar Entertainment,Unknown,,,,,,,2013-03-10
Enchanted Cavern,Osx,Misc,Alawar Entertainment,Unknown,,,,,,,2014-03-13
End of Serenity,And,Misc,Kemco,Unknown,,,,,,,2012-11-12
End of Serenity,Psp,Misc,Natsume,Unknown,,,,,,,2014-06-24
Endless Apples,Psv,Misc,Unknown,Unknown,,,,,,,2014-03-05
Endless Legend,Pc,Misc,Iceberg Interactive,Unknown,,,,,,,2014-09-18
Endless Space,Osx,Misc,Iceberg Interactive,Unknown,,,,,,,2012-08-24
Endlessly,3Do,Misc,Vivid Interactive,Vivid Interactive,,,,,,,1995-01-01
EndWar Online,Pcfx,Misc,Ubisoft Shanghai,Unknown,,,,,,,2020-12-31
EndWar Online,Osx,Misc,Ubisoft,Unknown,,,,,,,2020-12-31
EndWar Online,Pc,Misc,Ubisoft,Unknown,,,,,,,2020-12-31
Enpitsu de Oku no Hosomichi DS,Ds,Misc,Success,Success,,,,,,,2007-05-31
Enzai - Falsely Accused - eine falsche Beschuldi-gung,Pc,Misc,Jast,Langmaor,,,,,,,2006-01-31
Epic Mickey: The Power of Illusion,3Ds,Misc,Unknown,Unknown,,,,,,,
Episode: Choose Your Story,And,Misc,Episode Interactive,Unknown,,,,,,,2014-02-20
EPOCH.,Pc,Misc,Raw Fury,Unknown,,,,,,,2014-06-05
EQ Trainer DS: Dekiru Otona no Communication Jutsu,Ds,Misc,Takara Tomy,Takara Tomy,,,,,,,2007-03-08
Escape - Living Room,And,Misc,Mobest Media,Unknown,,,,,,,2013-04-20
Escape from LaVille,And,Misc,Gabriele Pellistri,Unknown,,,,,,,2011-08-11
Escape From Paradise,Pc,Misc,Dreamcatcher Interactive,Unknown,,,,,,,2008-03-26
Escape from zombies,3Ds,Misc,Tom Create,Unknown,,,,,,,2013-10-10
Escape Goat 2,Pc,Misc,Double Fine Productions,Unknown,,,,,,,2014-03-24
Escape The Ape,Pc,Misc,Big Fish Games,Unknown,,,,,,,2011-12-08
Escape The Ape,And,Misc,Big Fish Games,Unknown,,,,,,,2013-03-02
Escape The Lost Kingdom: The Forgotten Pharaoh,Pc,Misc,Strategy First,Unknown,,,,,,,2010-08-06
Escape the Mansion,And,Misc,Gipnetix Games,Gipnetix Games,,,,,,,2014-02-23
Escape the Virus: Shoot'Em Up!,Dsi,Misc,Teyon Entertainment,Unknown,,,,,,,2012-08-30
Escape the Virus: Shoot'Em Up!,3Ds,Misc,Teyon Entertainment,Unknown,,,,,,,2012-08-30
Escape the Virus: Swarm Survival,Dsi,Misc,Teyon Entertainment,Unknown,,,,,,,2012-06-28
Escape the Virus: Swarm Survival,3Ds,Misc,Teyon Entertainment,Unknown,,,,,,,2012-06-28
Escape Trick: Convience Store,Dsi,Misc,Intense,Unknown,,,,,,,2011-11-17
Escape Trick: Convience Store,3Ds,Misc,Intense,Unknown,,,,,,,2011-11-17
Escape Trick: Ninja Castle,3Ds,Misc,Intense,Unknown,,,,,,,2011-12-15
Escape Trick: Ninja Castle,Dsi,Misc,Intense,Unknown,,,,,,,2011-09-22
escapeVektor,3Ds,Misc,Nnooo,Unknown,,,,,,,2012-12-20
ESSE Rakuraku Kakeibo,3Ds,Misc,Ie Institute,Ie Institute,,,,,,,2011-12-22
ESSE Shikkari Kakeibo DS,Ds,Misc,Ie Institute,Ie Institute,,,,,,,2007-10-25
Etch A Sketch,Pc,Misc,Mumbo Jumbo,Gameshastra,,,,,,,2008-10-14
Eternity Warriors 3,And,Misc,Glu Mobile Inc.,Unknown,,,,,,,2014-01-08
Etherium,Pc,Misc,Focus Home Interactive,Unknown,,,,,,,2014-07-01
Europa Universalis IV,Osx,Misc,Paradox Interactive,Unknown,,,,,,,2013-08-13
Europa Universalis IV,Linux,Misc,Paradox Interactive,Unknown,,,,,,,2013-08-13
Everest,Pc,Misc,Activision Value,Unknown,,,,,,,2004-03-02
Everybody's Stress Buster,Psn,Misc,Sony Computer Entertainment,Scei,,,,,,,2010-12-22
Evofish,Wiiu,Misc,Bulkypix,Unknown,,,,,,,2014-04-03
Evofish,And,Misc,Bulkypix,Unknown,,,,,,,2013-12-03
Evoland,Osx,Misc,Shiro Games,Unknown,,,,,,,2013-04-04
Evolution RTS,Pc,Misc,Unknown,Unknown,,,,,,,2014-04-04
Evolution: Battle for Utopia,And,Misc,My.Com,Unknown,,,,,,,2014-07-01
Evopollution,Pc,Misc,Unknown,Unknown,,,,,,,2014-04-23
EX Jinsei Game,Ps2,Misc,Takara,Takara,,,,,,,2002-03-07
EX Jinsei Game II,Ps2,Misc,Takara,Takara,,,,,,,2003-11-06
Exhibition Volume 1,X360,Misc,Microsoft Game Studios,Various,,,,,,,2007-01-01
Explosive Dinosaurs,Pc,Misc,Unknown,Unknown,,,,,,,2015-04-01
Explosive Dinosaurs,Ouya,Misc,Unknown,Unknown,,,,,,,2015-04-01
Expo Bingo!,Pc,Misc,Nexon America,Unknown,,,,,,,2005-05-11
Extreme Ghostbusters: Creativity Centre,Pc,Misc,Lsp Games,Lsp Games,,,,,,,2001-01-01
Extreme Pinball,Psn,Misc,Sony Computer Entertainment,Epic Games,,,,,,,2010-01-28
Extreme Pinball,Pc,Misc,Electronic Arts,Digital Extremes,,,,,,,1995-01-01
Extreme Road Trip 2,And,Misc,Roofdog Games,Unknown,,,,,,,2013-01-17
Extreme RPS Online,Xbl,Misc,Microsoft,Monkeyware Studios,,,,,,,2009-08-02
Eye-Ball,Xbl,Misc,Microsoft,Von Chrono,,,,,,,2009-07-29
EyeCandy: Chromadose,Xbl,Misc,Microsoft,Polychrome,,,,,,,2009-06-10
EyeCreate,Psn,Misc,Sony Computer Entertainment,London Studios,,,,,,,2007-10-23
EyeToy Play: Astro Zoo,Ps2,Misc,Sony Computer Entertainment,Scee London Studio,,,,,,,2007-11-02
EyeToy Play: Hero,Ps2,Misc,Sony Computer Entertainment,Scee London Studio,,,,,,,2008-11-12
EyeToy Play: PomPom Party,Ps2,Misc,Sony Computer Entertainment,Scee London Studio,,,,,,,2008-11-12
EyeToy: Active,Ps2,Misc,Sony Computer Entertainment,Scee London Studio,,,,,,,2005-02-01
EyeToy: Chat,Ps2,Misc,Sony Computer Entertainment,Scee London Studio,,,,,,,2006-04-01
EZ-Talk Shokyuuhen 1,Gba,Misc,Keynet,"Nd Cube Co., Ltd.",,,,,,,2001-08-01
EZ-Talk Shokyuuhen 1-6 Kan Set,Gba,Misc,Keynet,"Nd Cube Co., Ltd.",,,,,,,2001-03-21
EZ-Talk Shokyuuhen 2,Gba,Misc,Keynet,"Nd Cube Co., Ltd.",,,,,,,2001-08-01
EZ-Talk Shokyuuhen 3,Gba,Misc,Keynet,"Nd Cube Co., Ltd.",,,,,,,2001-08-01
EZ-Talk Shokyuuhen 4,Gba,Misc,Keynet,"Nd Cube Co., Ltd.",,,,,,,2001-08-01
EZ-Talk Shokyuuhen 5,Gba,Misc,Keynet,"Nd Cube Co., Ltd.",,,,,,,2001-08-01
EZ-Talk Shokyuuhen 6,Gba,Misc,Keynet,"Nd Cube Co., Ltd.",,,,,,,2001-08-01
ezmuze+: Hamst3r edition,Xbl,Misc,Microsoft,Mad Ninja Skillz,,,,,,,2009-05-06
EZmuze: Break / House Edition,Xbl,Misc,Microsoft,Mad Ninja Skillz,,,,,,,2008-12-19
F-Zero: Maximum Velocity,Wiiu,Misc,Nintendo,Unknown,,,,,,,2014-04-17
Fable II Pub Games,Xbl,Misc,Microsoft Game Studios,Lionhead Studios,5.2,,,,,,2008-08-13
Faceez,Dsiw,Misc,Neko Entertainment,Neko Entertainment,,,,,,,2010-02-22
Faceez: Monsters!,Dsiw,Misc,Neko Entertainment,Neko Entertainment,,,,,,,2011-03-28
Fail Hard,And,Misc,Fingersoft,Unknown,,,,,,,2014-01-12
Fairy Bloom Freesia,Pc,Misc,Scea Studio San Diego,Unknown,,,,,,,2012-10-17
Fairy Kitty no Kaiun Jiten: Yousei no Kuni no Uranai Shugyou,Gb,Misc,Imagineer,Imagineer,,,,,,,1998-12-11
"Fairy Tale About Father Frost, Ivan and Nastya",Pc,Misc,1C Company,Unknown,,,,,,,2000-12-20
Falcom Classics,Sat,Misc,Victor Interactive,Nihon Falcom Corporation,,,,,,,1997-11-06
Falcom Classics Collection,Sat,Misc,Victor Interactive,Nihon Falcom Corporation,,,,,,,1999-03-04
Falcom Classics II,Sat,Misc,Victor Interactive,Nihon Falcom Corporation,,,,,,,1998-10-29
Fall Out Bird,And,Misc,Mass Threat,Unknown,,,,,,,2014-02-20
Fall Weiss,Pc,Misc,Unknown,Unknown,,,,,,,2014-05-30
Fallout 3 & Oblivion Double Pack,Pc,Misc,Bethesda Softworks,Unknown,,,,,,,2012-04-03
Fallout 3 & Oblivion Double Pack,X360,Misc,Bethesda Softworks,Unknown,,,,,,,2012-04-03
Famaze,Pc,Misc,Unknown,Unknown,,,,,,,2014-05-05
Fame Academy,Pc,Misc,Ubisoft,Monte Cristo Multimedia,,,,,,,2003-10-31
Fame Academy,Ps2,Misc,Ubisoft,Monte Cristo Multimedia,,,,,,,2003-11-21
Famicom Igo Nyuumon,Nes,Misc,I'Max,Unknown,,,,,,,1991-11-29
Famicom Shogi: Ryuu-Ou-Sen,Nes,Misc,I'Max,Home Data,,,,,,,1991-02-15
Family & Friends Party,Ww,Misc,Gammick Entertainment,Gammick Entertainment,,,,,,,2009-03-02
Family Bowling 3D,3Ds,Misc,Arc System Works,Unknown,,,,,,,2013-10-03
Family Card Games,Ww,Misc,Aksys Games,Arc System Works,,,,,,,2009-11-02
Family Farm Seaside,And,Misc,Rich Olson,Unknown,,,,,,,2013-02-02
Family Feud,Ps2,Misc,Global Star Software,Ingram Entertainment,,,,,,,2006-10-12
Family Feud,Snes,Misc,Gametek,"Imagineering, Inc.",,,,,,,1993-10-01
Family Feud,Nes,Misc,Gametek,Beam Software,,,,,,,1991-05-01
Family Feud,3Do,Misc,Gametek,Eurocom Entertainment Software,,,,,,,1994-01-01
Family Feud,Gba,Misc,Global Star Software,Ingram Entertainment,,,,,,,2006-10-12
Family Feud,Pc,Misc,Global Star Software,Ingram Entertainment,,,,,,,2006-09-26
Family Feud,Gen,Misc,Gametek,Eurocom Entertainment Software,,,,,,,1993-01-01
Family Feud,Psn,Misc,Ludia,Ludia Inc.,,,,,,,2010-07-06
Family Feud 2,And,Misc,Unknown,Ludia,,,,,,,2014-04-01
Family Feud Collection,Pc,Misc,Iwin,Iwin,,,,,,,2009-08-24
Family Games: Pen & Paper Edition!,Ww,Misc,Icon Games,Icon Games,,,,,,,2010-12-13
Family Games: Pen & Paper Edition!,Psn,Misc,Icon Games,Icon Games,,,,,,,2011-01-04
Family Guy Time Warped,3Ds,Misc,Enjoyup Games,Unknown,,,,,,,2013-05-16
Family Guy: The Quest for Stuff,And,Misc,"Tinyco, Inc.",Unknown,,,,,,,2014-04-10
Family Kart 3D,3Ds,Misc,Arc System Works,Unknown,,,,,,,2013-08-01
Family Mahjong,Nes,Misc,Namco,Nihon Bussan,,,,,,,1987-08-11
Family Mahjong II: Shanghai he no Michi,Nes,Misc,Namco,Nihon Bussan,,,,,,,1988-11-25
Family Pirate Party,Ww,Misc,Aksys Games,Arc System Works,,,,,,,2009-05-11
Family Table Tennis,3Ds,Misc,Aksys Games,Unknown,,,,,,,2013-09-26
Family Trainer: Meiro Daisakusen,Nes,Misc,Bandai,Bandai,,,,,,,1987-07-31
Family Trainer: Rairai Kyonshizu: Baby Kyonshii no Amida Daibouken,Nes,Misc,Bandai,Bandai,,,,,,,1989-01-26
Family Trainer: Tostugeki! Fuuun Takeshi Shiro,Nes,Misc,Bandai,Bandai,,,,,,,1987-12-28
Fantastic Marchen: Cake-yasan Monogatari + Doubutsu Chara Navi Uranai Kosei Shinri Gaku,Gba,Misc,Culture Brain,Culture Brain,,,,,,,2002-11-01
Fantastic Pinball Kyutenkai,Ps,Misc,Technosoft,"Technosoft Co., Ltd.",,,,,,,1995-03-31
Fantastic Pinball Kyutenkai,Sat,Misc,Technosoft,"Technosoft Co., Ltd.",,,,,,,1995-08-25
Fantastic Tambourine,Ww,Misc,Unknown,Zoom,,,,,,,
Fantasy Grounds,Pc,Misc,Unknown,Unknown,,,,,,,2014-05-09
Fantasy Hero: Unsigned Legacy,Psv,Misc,Arc System Works,Unknown,,,,,,,2014-12-02
Fantasy Slots: Adventure Slots and Games,Ww,Misc,Big John Games,Big John Games,,,,,,,2010-08-02
Fantasy Slots: Adventure Slots and Games,Dsiw,Misc,Big John Games,Big John Games,,,,,,,2010-12-27
Fantasy Town,And,Misc,Gameloft,Unknown,,,,,,,2011-12-07
Far Cry 2 / Tom Clancy's Ghost Recon Advanced Warfighter Double Pack,X360,Misc,Ubisoft,Unknown,,,,,,,2012-03-30
Far Cry 3: Blood Dragon,Ps3,Misc,Ubisoft,Unknown,,,,,,,2013-05-01
Far Cry 3: Blood Dragon,X360,Misc,Ubisoft,Unknown,,,,,,,2013-05-01
Farm Defense Puzzle,And,Misc,Unknown,Unknown,,,,,,,2014-04-26
Farm Frenzy 4,Osx,Misc,Big Fish Games,Unknown,,,,,,,2013-07-25
Farm Frenzy 4,Pc,Misc,Big Fish Games,Unknown,,,,,,,2013-07-25
Farm Heroes Saga,Brw,Misc,King.Com,Unknown,,,,,,,2013-03-26
Farm Heroes Saga,And,Misc,King.Com,Unknown,,,,,,,2014-01-03
Farm Story,And,Misc,Teamlava,Unknown,,,,,,,2013-03-05
Farming USA,And,Misc,Michael Bowen,Unknown,,,,,,,2014-02-04
Farming World,Osx,Misc,Unknown,Unknown,,,,,,,
Farming World,Pc,Misc,Unknown,Unknown,,,,,,,
FarmVille 2: Country Escape,And,Misc,Zynga,Unknown,,,,,,,2014-04-16
Fashion Story,And,Misc,Teamlava,Unknown,,,,,,,2011-03-31
Fast & Furious 6: The Game,And,Misc,Kabam,Unknown,,,,,,,2013-05-15
Fat Bobby,Lynx,Misc,Telegames,Telegames,,,,,,,1997-01-01
Fatal Hearts,Pc,Misc,Fabio Ricci,Unknown,,,,,,,2014-02-14
Fathammer Classics Pack,Giz,Misc,Gizmondo Studios,Ai Factory,,,,,,,2005-10-22
Fatty Bear's Birthday Surprise,3Do,Misc,3Do,Humongous Entertainment,,,,,,,1993-01-01
Fatty Bear's Birthday Surprise,Pc,Misc,Humongous,Humongous Entertainment,,,,,,,1993-01-01
Fatty Bear's Fun Pack,3Do,Misc,Media.Vision Entertainment,Humongous Entertainment,,,,,,,1994-08-06
Fawnix,Xbl,Misc,Microsoft,Epitfog,,,,,,,2011-07-20
Fearless Fantasy,Pc,Misc,Unknown,Unknown,,,,,,,2014-05-15
Feeding Frenzy 2 Deluxe,Pc,Misc,Popcap Games,Popcap,,,,,,,2006-08-30
Feel for Two,Psn,Misc,Sony Computer Entertainment,Sony Computer Entertainment,,,,,,,2010-05-26
Fenix Rage,Ps4,Misc,Unknown,Unknown,,,,,,,2014-10-01
Fenix Rage,Pc,Misc,Green Lava Studios,Unknown,,,,,,,2014-09-24
Ferris Mueller's Day Off,And,Misc,Glitch Games,Unknown,,,,,,,2014-01-15
Fever 2: Sankyo Koushiki Pachinko Simulation,Ps,Misc,Ics,Ics,,,,,,,2000-05-02
Fever 3: Sankyo Koushiki Pachinko Simulation,Ps,Misc,Ics,Ics,,,,,,,2000-11-02
Fever 4: Sankyo Koushiki Pachinko Simulation,Ps,Misc,Ics,Ics,,,,,,,2001-03-08
Fever 5: Sankyo Koushiki Pachinko Simulation,Ps,Misc,Ics,Ics,,,,,,,2001-09-20
Fever Sankyo Koushiki Pachinko Simulation for WonderSwan,Ws,Misc,Bec,Bec,,,,,,,1999-12-09
Fever: Sankyo Koushiki Pachinko Simulation,Ps,Misc,Ichikawa,Ichikawa,,,,,,,1999-11-11
Fez,Ps4,Misc,Polytron,Unknown,,,,,,,2014-03-25
Fez,Psv,Misc,Polytron,Unknown,,,,,,,2014-03-25
Fidelity Ultimate Chess Challenge,Lynx,Misc,Telegames,"Telegames, Inc.",,,,,,,1992-01-01
FIFA 13,Ps2,Misc,Ea Sports,Unknown,,,,,,,2012-09-25
FIFA Street,Ps3,Misc,Unknown,Unknown,,,,,,,
FightBox,Gba,Misc,Bbc Multimedia,Gamezlab,,,,,,,2004-02-06
Fighting Fantasy: Starship Traveller,And,Misc,Tin Man Games,Unknown,,,,,,,2014-04-10
Final Fantasy,Gba,Misc,Nintendo,Unknown,,,,,,,2004-11-29
Final Fantasy II,Gba,Misc,Nintendo,Unknown,,,,,,,2004-11-29
Final Fantasy II,Psp,Misc,Square Enix,Unknown,,,,,,,2007-07-24
Final Fantasy IV,Psp,Misc,Square Enix,Unknown,,,,,,,2011-04-19
Final Fantasy IV,Wii,Misc,Square Enix,Unknown,,,,,,,2010-03-08
Final Fantasy IV,Gba,Misc,Square Enix,Unknown,,,,,,,2005-12-12
Final Fantasy IV,Tg16,Misc,Artdink,Unknown,,,,,,,1993-06-11
Final Fantasy Tactics,And,Misc,Square Enix,Unknown,,,,,,,2013-02-14
Final Fantasy Tactics,Psp,Misc,Square Enix,Unknown,,,,,,,2007-10-09
Final Fantasy VI,Gba,Misc,Nintendo,Unknown,,,,,,,2007-02-05
Final Fight,Gba,Misc,Capcom,Unknown,,,,,,,2001-09-26
Final Fight,Scd,Misc,Sega,Unknown,,,,,,,1993-04-03
Final Fight,Zxs,Misc,U.S. Gold,Unknown,,,,,,,1991-01-01
Final Fight,C64,Misc,U.S. Gold,Unknown,,,,,,,1991-01-01
Final Fight,Ast,Misc,U.S. Gold,Unknown,,,,,,,1991-01-01
Final Fight,Amig,Misc,U.S. Gold,Unknown,,,,,,,1991-01-01
Final Fight,Arc,Misc,Capcom,Unknown,,,,,,,1989-12-01
Final Fight,Wiiu,Misc,Capcom,Unknown,,,,,,,2013-10-03
Final Fight 2,Wiiu,Misc,Capcom,Unknown,,,,,,,2013-10-03
Final Fight 3,Wiiu,Misc,Capcom,Unknown,,,,,,,2013-10-03
Final Rush,Pc,Misc,Unknown,Unknown,,,,,,,2013-09-17
Find Love 2: The Prologue,Sat,Misc,Daiki,Daiki,,,,,,,1998-06-04
Find Teddy,Xbl,Misc,Microsoft,Stephen M Bennett,,,,,,,2009-02-09
Finding Nemo: Learning With Nemo,Pc,Misc,Buena Vista,Inlight Entertainment,,,,,,,2005-10-05
Finger Connection,Psn,Misc,Sony Computer Entertainment,Sony Computer Entertainment America,,,,,,,2010-05-04
Fire,Xbl,Misc,Microsoft,Govids,,,,,,,2009-09-16
Fire Emblem: Ankoku Ryu to Hikari no Tsurugi,3Ds,Misc,Nintendo,Intelligent Systems,,,,,,,2012-08-01
Fire Pro Wrestling Returns,Ps3,Misc,Sony Computer Entertainment,Unknown,,,,,,,2013-04-23
Firecracker HD,Xbl,Misc,Microsoft,Yaystuff,,,,,,,2009-12-27
Firefighters 2014,Pc,Misc,Rondomedia,Unknown,,,,,,,2014-05-21
Fireplace,Xbl,Misc,Microsoft,Snipered007,,,,,,,2008-12-21
Firewatch,Linux,Misc,Unknown,Unknown,,,,,,,2016-02-09
Firewatch,Osx,Misc,Unknown,Unknown,,,,,,,2016-02-09
Fireworks HD,Xbl,Misc,Microsoft,Squimball,,,,,,,2009-07-16
Fireworks Screensaver,Xbl,Misc,Microsoft,Lutas,,,,,,,2009-09-25
Fireworks Spectacular,Xbl,Misc,Microsoft,Govids,,,,,,,2009-09-02
Fish Racer Arcade,Xbl,Misc,Microsoft,Kytin,,,,,,,2009-04-01
Fishbowl,Xbl,Misc,Microsoft,Nearfantastlca,,,,,,,2009-01-20
Fisher Price: Firehouse Rescue,Nes,Misc,Gametek,Imagineering Inc.,,,,,,,1990-03-01
Fisher Price: I Can Remember,Nes,Misc,Gametek,Beam Software,,,,,,,1990-03-01
Fisher Price: Perfect Fit,Nes,Misc,Gametek,Beam Software,,,,,,,1990-03-01
Fishing Paradise 3D,And,Misc,Bass Professor,Unknown,,,,,,,2013-04-12
Fist Puncher,Pc,Misc,Adult Swim,Unknown,,,,,,,2013-06-21
Fist Puncher,X360,Misc,Adult Swim,Unknown,,,,,,,2013-07-31
Fist Puncher,Ouya,Misc,Adult Swim,Unknown,,,,,,,2014-02-25
Fistful of Frags,Linux,Misc,Unknown,Unknown,,,,,,,2014-05-09
Fistful of Frags,Osx,Misc,Unknown,Unknown,,,,,,,2014-05-09
Fistful of Frags,Pc,Misc,Unknown,Unknown,,,,,,,2014-05-09
Fit Music,Wii,Misc,Electric Dreams Software,Unknown,,,,,,,2012-04-15
Fiz: The Brewery Management Game,And,Misc,"Bit By Bit Studios, Llc",Unknown,,,,,,,2013-12-19
Flag Quiz,And,Misc,Unknown,Unknown,,,,,,,2014-06-19
Flame Over,Psv,Misc,Laughing Jackal,Unknown,,,,,,,2015-01-01
Flap for Life,And,Misc,Unknown,Unknown,,,,,,,2014-03-09
Flappy Bird,And,Misc,Codemasters Online,Unknown,,,,,,,2013-05-24
Flappy Fin & Friends,And,Misc,Go Games Limited,Unknown,,,,,,,2014-02-24
Flash Cards for Kids,Xbl,Misc,Microsoft,Talryyn,,,,,,,2009-09-04
Flash Sega Saturn: Ochikazuki-hen,Sat,Misc,Sega,Sega,,,,,,,1996-01-01
Flashback (2013),Ps3,Misc,Ubisoft,Unknown,,,,,,,2013-10-02
Flashback (2013),X360,Misc,Ubisoft,Unknown,,,,,,,2013-08-21
Flashback (2013),Pc,Misc,Ubisoft,Unknown,,,,,,,2013-10-01
Flashlight,Dsiw,Misc,Kaasa Solution,Kaasa Solution,,,,,,,2010-10-25
Flick Home Run! : Zombies,And,Misc,Infinity Pocket,Unknown,,,,,,,2014-05-20
Flight Control,And,Misc,Namco Bandai Games,Unknown,,,,,,,2011-11-18
Flight Control,Pc,Misc,Firemint,Unknown,,,,,,,2011-11-18
Flight Control,Ps3,Misc,Firemint,Unknown,,,,,,,2011-01-27
Flip,Pc,Misc,Unknown,Unknown,,,,,,,2014-05-17
Flip,Osx,Misc,Unknown,Unknown,,,,,,,2014-07-01
Flip,Linux,Misc,Unknown,Unknown,,,,,,,2014-07-01
Flip,And,Misc,Unknown,Unknown,,,,,,,2014-05-17
Flip the Core,3Ds,Misc,Engine Software,Unknown,,,,,,,2012-06-28
Flip the Core,Dsi,Misc,Engine Software,Unknown,,,,,,,2012-06-28
Flipnote Studio,Dsiw,Misc,Nintendo,Nintendo Ead Tokyo,9.0,,,,,,2009-08-12
Flipper 2,Dsi,Misc,Engine Software,Unknown,,,,,,,2012-01-26
Flipper 2,3Ds,Misc,Engine Software,Unknown,,,,,,,2012-01-26
Flips: More Bloody Horowitz,Dsiw,Misc,Electronic Arts,Electronic Arts,,,,,,,2010-05-17
Flips: Silent But Deadly,Dsiw,Misc,Electronic Arts,Electronic Arts,,,,,,,2010-06-14
Flips: Terror in Cubicle Four,Dsiw,Misc,Electronic Arts,Electronic Arts,5.0,,,,,,2010-03-01
Flips: The Bubonic Builders,Dsiw,Misc,Electronic Arts,Electronic Arts,,,,,,,2010-03-08
Flips: The Enchanted Wood,Dsiw,Misc,Electronic Arts,Electronic Arts,,,,,,,2010-05-10
